series_name,network,season,title,imdb,engagement,date_aired,run_time,format,monster_name,monster_gender,monster_type,monster_subtype,monster_species,monster_real,monster_amount,caught_fred,caught_daphnie,caught_velma,caught_shaggy,caught_scooby,captured_fred,captured_daphnie,captured_velma,captured_shaggy,captured_scooby,unmask_fred,unmask_daphnie,unmask_velma,unmask_shaggy,unmask_scooby,snack_fred,snack_daphnie,snack_velma,snack_shaggy,snack_scooby,unmask_other,caught_other,caught_not,trap_work_first,setting_terrain,setting_country_state,suspects_amount,non_suspect,arrested,culprit_name,culprit_gender,culprit_amount,motive,if_it_wasnt_for,and_that,door_gag,number_of_snacks,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo,batman,scooby_dum,scrappy_doo,hex_girls,blue_falcon,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
The New Scooby-Doo Movies,CBS,2,Mystery in Persia,7.5,82.0,1973-09-22,43,TV Series,Jadal,Male,Mythical,Phantom,Genie,real,1,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,Desert,Iran,3,False,True,Abdullah,Male,1,Competition,,,False,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,False,False,False,False,False,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,2,The Spirited Spooked Sports Show,7.4,73.0,1973-09-29,43,TV Series,Spirit of Fireball McPhan,Male,Ghost,Phantom,Human,fake,1,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,,Urban,United States,3,False,True,"Jesse Finster,Mr Griffith's Twin Brother","Male,Male",2,Competition,,,False,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,2,The Exterminator,7.6,85.0,1973-10-06,44,TV Series,"Cat Creature,Frankenstein,Creepy Man,Ghost Bird,Unknown Exterminator,Ghostly Man,Invisible Couple,Sea Monster","Male,Male,Male,Male,Male,Male,Male,Male","Animal,Undead,Disguised,Animal,Disguise,Ghost,Ghost,Animal","Humanoid,Frankenstein's Monster,Creepy,Headless,Exterminator,Phantom,Phantom,Sea-Monster","Human,Human,Human,Bird,Human,Human,Human,Fish",fake,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,Forest,California,1,False,False,"Otto,Lorne Chumley","Male,Male",2,Competition,,,False,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,2,The Weird Winds of Winona,7.3,91.0,1973-10-13,44,TV Series,"Windmakers,Windmakers,Windmakers,Windmakers","Male,Male,Male,Male","Disguised,Disguised,Disguised,Disguised","Hooded,Hooded,Hooded,Hooded","Human,Human,Human,Human",fake,4,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,Rural,Mississippi,2,False,True,P.J. Peabody,Male,1,Competition,those meddling kids,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,2,The Haunted Candy Factory,7.8,104.0,1973-10-20,43,TV Series,"Green Globs,Green Globs","Male,Male","Possessed Object,Possessed Object","Humanoid,Humanoid","Human,Human",fake,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,Urban,United States,2,False,True,"Mr. Crink,Sterling Smith","Male,Male",2,Smuggling,,,False,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,2,The Haunted Carnival,7.6,92.0,1973-10-27,43,TV Series,Ghostly Strongman,Male,Ghost,Phantom,Human,fake,1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,Rural,United States,0,False,True,Masked Marvel,Male,1,Competition,,,False,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The Scooby-Doo Show,ABC,1,High Rise Hair Raiser,7.6,112.0,1976-09-11,24,TV Series,"Specter of Ebenezer Crabbe,Ghost of Netty Crabbe","Male,Female","Ghost,Ghost","Phantom,Phantom","Human,Human",fake,2,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Urban,United States,4,False,True,"Jim Rivets,Red Sparks","Male,Male",2,Theft,,,False,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,False,False,False,False,False,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
"Dynomutt, Dogwonder",ABC,Crossover,Everyone Hyde!,7.2,12.0,1976-09-11,22,Crossover,"Mr. Hyde,Snitch","Male,Male","Disguised,Animal","Split-Personality,Split-Personality","Human,Hound",real,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Urban,United States,2,False,True,Willie the Weasel,Male,1,Theft,,,False,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,False,False,False,False,True,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
The Scooby-Doo Show,ABC,1,The Fiesta Host is an Aztec Ghost,7.4,97.0,1976-09-18,24,TV Series,"Ghost of King Katazuma,Aztec Statue Monster","Male,Male","Ghost,Possessed Object","Phantom,Statue","Human,Human",fake,2,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Rural,Mexico,4,False,True,"Prof. Stonehack,Elina Stonehack","Male,Female",2,Treasure,,,False,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,False,False,False,False,False,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
"Dynomutt, Dogwonder",ABC,Crossover,"What Now, Lowbrow?",6.9,11.0,1976-09-18,22,Crossover,"Lowbrow,Lowbrow's Henchmen,Lowbrow's Henchmen","Male,Male,Male","Super-Villain,Super-Villain,Super-Villain","Idiot,Henchman,Henchman","Human,Human,Human",real,3,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Urban,United States,1,False,True,,,3,Theft,,,False,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,True,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
