name,tag,origin
River,Valley Road,Generic
Bukit Batok,Avenue,Malay
Batok,Bukit,Malay
Toa Payoh,,Chinese
Ang Mo Kio,Street,Chinese
Siglap,Link,Malay
Grange,Road,British
Kayu,Jalan,Malay
Sengkang,Road,Chinese
Bukit Timah,Expressway,Malay
Punggol,Drive,Malay
Bukit Merah,Jalan,Malay
Andrew,Road,British
Inggu,Road,Malay
Amber,Road,Other
Lengkok Sembawang,Jalan,Malay
Oxford,Road,British
Richards,Avenue,British
Scotts,Road,British
Selegie,Road,Malay
Keng Lee,Road,Chinese
Newton,Road,British
Sarkies,Road,Other
Paterson,Road,British
Orchard,Boulevard,Generic
Paterson,Hill,British
Unity,Street,Generic
Merbau,Road,Malay
Mohamed Sultan,Road,Malay
Clemenceau,Avenue,Other
Merchant,Road,Generic
Read,Crescent,British
Prinsep,Street,British
Telok Blangah,Road,Malay
Nicoll,Highway,British
Turf Club,Avenue,Generic
Tanglin,Road,Chinese
Devonshire,Road,British
Exeter,Road,British
Kallang,Road,Malay
Yio Chu Kang,Road,Chinese
Serangoon,Viaduct,Malay
Chuan,Lorong,Chinese
Boundary,Road,Generic
Eunos,Link,Malay
Defu,Avenue,Chinese
Beach,Road,Generic
High,Street,Generic
Boat,Quay,Generic
Parliament,Place,Generic
Coleman,Street,British
Stamford,Road,British
St Andrew's,Road,British
Sungei,Road,Malay
Bain,Street,British
Seah,Street,Chinese
Liang Seah,Street,Chinese
Tan Quee Lan,Street,Chinese
Rochor,Road,British
Raffles,Avenue,British
Temasek,Avenue,Malay
Napier,Road,British
Republic,Boulevard,Generic
Republic,Avenue,Generic
Rochor Canal,Road,British
Queen,Street,British
Crawford,Street,British
Fort Canning,Tunnel,British
Besar,Jalan,Malay
Waterloo,Street,Other
Weld,Road,British
Sultan,Jalan,Malay
Penang,Road,Malay
Somerset,Road,British
Tomlinson,Road,British
Cuscaden,Road,British
Adam,Road,British
Paya Lebar,Road,Malay
New,Bridge Road,Generic
Bukit Timah,Road,Malay
Dairy Farm,Road,Generic
Bukit Panjang,Road,Malay
Woodlands,Road,Generic
Pasir Ris,,Malay
Elgin,Bridge,British
South,Bridge Road,Generic
Esplanade,Drive,British
Fullerton,Road,British
Robinson,Road,British
Cecil,Street,British
Maxwell,Road,British
Wallich,Street,Other
Choon Guan,Street,Chinese
Tanjong Pagar,Road,Malay
Tras,Street,Malay
Kreta Ayer,Road,Malay
Shenton,Way,British
Anson,Road,British
Hoe Chiang,Road,Chinese
Circular,Road,Generic
Carpenter,Street,Generic
Hong Kong,Street,Chinese
Eu Tong Seng,Road,Chinese
Canal,Road,Generic
Cantonment,Road,Generic
Lim Teck Kim,Road,Chinese
Cantonment,Link,Generic
Cross,Street,Generic
Hokien,Street,Chinese
Leng Kee,Road,Chinese
Commonwealth,Avenue,British
Holland,Avenue,British
Holland,Drive,British
Dover,Road,British
Ayer Rajah,Avenue,Malay
West,Coast Highway,Generic
Dover,Rise,British
Dover,Close,British
Portsdown,Road,British
Serangoon,,Malay
Toa Payoh,Lorong,Chinese
Toa Payoh,Interchange,Chinese
Raffles,Quay,British
Serangoon,Garden Circus,Malay
Serangoon,Garden Way,Malay
Farleigh,Avenue,British
Chartwell,Drive,British
Yio Chu Kang,Link,Chinese
Marymount,Road,British
Lavender,Street,Generic
Java,Road,Malay
Bideford,Road,British
Cairnhill,Road,British
Cairnhill,Circle,British
Empress,Place,British
Cashin,Street,British
Farrer,Road,British
Delta,Road,Generic
Marymount,Lane,British
Newton,Circus,British
Ulu Pandan,Road,Malay
Loyang,Avenue,Malay
Cranwell,Road,British
Hendon,Road,British
Changi,Coast Road,Malay
Hougang,Street,Chinese
Sengkang,Drive,Chinese
Sengkang,,Chinese
Kim Seng,Road,Chinese
Tiong Bahru,Road,Chinese
Sims,Way,Chinese
Compassvale,Bow,Generic
Sengkang,Square,Chinese
Rivervale,Drive,Generic
Rivervale,Crescent,Generic
Anchorvale,Link,Generic
Anchorvale,Drive,Generic
Ubi,Road,Malay
Zion,Road,Other
East,Coast Road,Generic
Mount Faber,Road,British
Kampong Bahru,Road,Malay
Bukit Ho Swee,Link,Chinese
Bukit Ho Swee,Crescent,Chinese
Ganges,Avenue,Indian
Nallur,Road,Indian
Battery,Road,Generic
Canning,Rise,British
Killiney,Road,British
Bencoolen,Street,Malay
Sin Ming,Road,Chinese
Bishan,Street,Chinese
Buangkok,Link,Malay
Sembawang Hills,Drive,Malay
Mountbatten,Road,British
Still,Road,British
Marine Parade,Road,Generic
Marina Parade,Circus,Generic
Bedok,Reservoir Road,Malay
Gangsa,Road,Malay
Upper,Coast Road,Generic
Bedok,Street,Malay
Bedok,Avenue,Malay
Aljunied,Road,Other
Boundary,Close,Generic
Keong Saik,Road,Chinese
Smith,Street,British
Bukit Pasoh,Road,Malay
Teo Hong,Road,Chinese
Geylang Serai,,Malay
Geylang,,Malay
Sims,Drive,Chinese
Kaki Bukit,Avenue,Malay
Tenaga,Jalan,Malay
Damai,Jalan,Malay
Kaki Bukit,Road,Malay
Tampines,Industrial Avenue,Malay
Tampines,Street,Malay
Tampines,,Malay
Pending,Road,Malay
Fajar,Road,Malay
Bukit Panjang,Ring Road,Malay
Senja,Road,Malay
Lok Yang,Way,Chinese
Saujana,Road,Malay
Choa Chu Kang,Drive,Chinese
Choa Chu Kang,Avenue,Chinese
Teck Whye,Crescent,Chinese
Teck Whye,Lane,Chinese
Choa Chu Kang,,Chinese
Choa Chu Kang,Loop,Chinese
Teck Whye,Jalan,Chinese
Hillview,Road,Generic
Choa Chu Kang,Street,Chinese
Choa Chu Kang,Crescent,Chinese
Bukit Batok,Street,Malay
Kranji,Way,Malay
Kranji,Loop,Malay
Hillview,Avenue,Generic
Sungei Kadut,Street,Malay
Sungei Kadut,Loop,Malay
Sungei Kadut,Crescent,Malay
Mandai,Estate,Malay
Toh Tuck,Avenue,Chinese
Jurong,,Malay
Jurong,Avenue,Malay
Lim Chu Kang,Lane,Chinese
Bahar,Jalan,Malay
Lim Chu Kang,Road,Chinese
Neo Tiew,Road,Chinese
Neo Tiew,Crescent,Chinese
Neo Tiew,Lane,Chinese
Gemala,Jalan,Malay
Bahtera,Jalan,Malay
Mandai Lake,Road,Malay
Lada Hitam,Lorong,Malay
Marsiling,Lane,Chinese
Marsiling,Drive,Chinese
Woodlands,Centre Road,Generic
Woodlands,Street,Generic
Marsiling,Road,Chinese
Marsiling,Crescent,Chinese
Woodlands,Industrial Park Street,Generic
Woodlands,Square,Generic
Woodlands,Way,Generic
Woodlands,Link,Generic
Woodlands,Industrial Park,Generic
Woodlands,Crescent,Generic
Woodlands,Terrace,Generic
Canberra,Road,Other
Admiralty,Street,British
Woodlands,Ring Road,Generic
Gambas,Avenue,Malay
Woodgrove,Avenue,Generic
Woodgrove,Drive,Generic
Rosewood,Drive,British
Lentor,Avenue,British
Everton,Road,British
Yishun,Ring Road,Chinese
Yishun,Industrial Park,Chinese
Sembawang,Way,Malay
Sembawang,Vista,Malay
Sembawang,Crescent,Malay
Mydin,Jalan,Malay
Eng Neo,Avenue,Chinese
Sixth,Avenue,Generic
Kallang-Paya Lebar,Expressway,Malay
Bartley,Road,British
Bussorah,Street,Other
Evans,Road,British
Cluny,Road,British
Sin Ming,Avenue,Chinese
Kembangan,Jalan,Malay
Bedok,Drive,Malay
Chai Chee,Road,Chinese
Frankel,Avenue,Other
Coast Park Service,Road,Generic
Bengkok,Lorong,Malay
Joo Chiat,Road,Chinese
Haig,Road,British
Brooke,Road,British
Tanjong Katong,Road,Malay
Marine Parade,,Generic
Dunman,Road,British
Klapa,Jalan,Malay
Pahang,Street,Malay
Sultan,Gate,Malay
