name,tag,origin
Syed Alwi,Road,Malay
Desker,Road,Other
Rowell,Road,British
Hindoo,Road,Indian
Norris,Road,British
Veerasamy,Road,Indian
Dunlop,Street,British
Campbell,Lane,British
Perak,Road,Malay
Madras,Street,Indian
Toh Tuck,Link,Chinese
Munshi Abdullah,Walk,Malay
Munshi Abdullah,Avenue,Malay
Omar Khayyam,Avenue,Other
Li Po,Avenue,Chinese
Tagore,Avenue,Indian
Iqbal,Avenue,Other
Tu Fu,Avenue,Chinese
Kalidasa,Avenue,Indian
Bumbong,Jalan,Malay
Rasok,Jalan,Malay
Gelegar,Jalan,Malay
Jendela,Jalan,Malay
Dinding,Jalan,Malay
Verde,View,Other
Phoenix,Road,Generic
Sunset,Terrace,Generic
Phoenix,Garden,Generic
Phoenix,Walk,Generic
Batu Nilam,Jalan,Malay
Elizabeth,Drive,British
Zamrud,Jalan,Malay
Sunset,Vale,Generic
Dermawan,Jalan,Malay
Gumilang,Jalan,Malay
Remaja,Jalan,Malay
Chu Yen,Street,Chinese
Larut,Road,Malay
Chu Lin,Road,Chinese
Hillview,Crescent,Generic
Hillview,Drive,Generic
Hillview,Terrace,Generic
Sunset,Walk,Generic
Sunset,View,Generic
Sunset,Place,Generic
Sunset,Heights,Generic
Anderson,Bridge,British
Sunset,Square,Generic
Sunset,Crescent,Generic
Brookvale,Drive,Generic
Brookvale,Walk,Generic
Pitt,Street,British
Clementi,Loop,British
Toh Tuck,Road,Chinese
King George's,Avenue,British
Hastings,Road,British
Buffalo,Road,Generic
Muscat,Street,Other
Lorong Realty,Park,Generic
Naung,Jalan,Other
St Helier's,Avenue,British
Eu Tong Sen,Road,Chinese
Baghdad,Street,Other
Aliwal,Street,Indian
Kubor,Jalan,Malay
Kledek,Jalan,Malay
Pisang,Jalan,Malay
Victoria,Lane,British
Kelantan,Road,Malay
Ann Siang,Hill,Chinese
Cove,Avenue Circus,Generic
Pearl's,Hill Road,British
Tagore,Drive,Indian
Tagore,Road,Indian
Tagore,Lane,Indian
Tagore,Industrial Avenue,Indian
Brighton,Crescent,British
Marlene,Avenue,British
Brighton,Avenue,British
Ripley,Crescent,British
Chepstow,Close,British
Paya Lebar,Crescent,Malay
Paya Lebar,Walk,Malay
Kelichap,Jalan,Malay
Lokam,Jalan,Malay
Tai Keng,Gardens,Chinese
Tai Keng,Lane,Chinese
Tai Keng,Terrace,Chinese
Tai Keng,Avenue,Chinese
Lim Teck Boo,Road,Chinese
Thrift,Drive,British
New,Industrial Road,Generic
Teliti,Jalan,Malay
Hock Chye,Jalan,Chinese
Gul,Way,Malay
Gul,Crescent,Malay
Gul,Circle,Malay
Gul,Drive,Malay
Gul,Street,Malay
Gul,Lane,Malay
Gul,Link,Malay
Benoi,Place,Other
Benoi,Lane,Other
Pioneer,Place,British
Pioneer,Sector,British
Pioneer,Sector Lane,British
Pioneer,Sector Walk,British
Coral,Island,Generic
Paradise,Island,British
Tanjong,Beach Walk,Malay
Cove,Way,Generic
Allanbrooke,Road,British
Cove,Avenue,Generic
Grace,Walk,British
Anchorvale,Street,Generic
Treasure,Island,Generic
Lakeshore,View,Generic
Almond,Avenue,Generic
Almond,Crescent,Generic
Almond,Street,Generic
Chestnut,Drive,Generic
Chestnut,Crescent,Generic
Suasa,Jalan,Malay
Chestnut,Gardens,Generic
Cashew,Crescent,Generic
Anchorvale,Bridge,Generic
Vaughan,Road,British
Chestnut,Avenue,Generic
Cashew,Terrace,Generic
Cashew,Road,Generic
Dairy Farm,Crescent,Generic
Emas Urai,Jalan,Malay
Lompang,Road,Malay
Chestnut,Close,Generic
Cashew,Link,Generic
Chestnut,Lane,Generic
Chestnut,Terrace,Generic
Fernvale,Road,Generic
Sengkang,Bridge,Chinese
Fernvale,Link,Generic
Anchorvale,Lane,Generic
Bukit Manis,Road,Malay
Punggol,,Malay
Sentul,Crescent,Malay
Edgedale,Plains,Generic
Edgefield,Plains,Generic
Punggol,Field Walk,Malay
Ponggol,Avenue,Malay
Ponggol Twenty-Fourth,Avenue,Malay
Tanggam,Lorong,Malay
Samak,Lorong,Malay
Rivervale,Link,Generic
Kallang,Avenue,Malay
Kallang,Place,Malay
Anchorvale,Road,Generic
Fernvale,Street,Generic
Merryn,Drive,British
Piccadilly,Circus,British
Compassvale,Crescent,Generic
Buangkok,Bridge,Malay
Foch,Road,Other
Mashhor,Jalan,Malay
Kitchener,Road,British
Townshend,Road,British
Berseh,Jalan,Malay
Kelantan,Lane,Malay
Hun Yeang,Road,Chinese
Tampines,Industrial Crescent,Malay
Anchorvale,Crescent,Generic
Halus,Lorong,Malay
Kim Chuan,Road,Chinese
Mei Hwan,Road,Chinese
Mei Hwan,Drive,Chinese
Mei Hwan,Crescent,Chinese
Mornington,Crescent,British
Piccadilly,,British
Lambeth,Walk,British
Dunkirk,Avenue,British
Anchorvale,Close,Generic
Tai Seng,Street,Chinese
Harper,Road,British
Playfair,Road,British
Irving,Road,British
Martin,Road,British
River,Valley Green,Generic
Camp,Road,Generic
Hemsley,Avenue,British
Beatty,Lane,British
Seletar Club,Road,Malay
Chencharu,Lorong,Malay
Geylang Bahru,,Malay
Kallang,Junction,Malay
Regent,Street,British
Maida,Vale,British
Shaw,Road,British
Brompton,Road,British
Genting,Link,Malay
Tavistock,Avenue,British
Kingswear,Avenue,British
Huddington,Avenue,British
Portchester,Avenue,British
Bridport,Avenue,British
Cowdray,Avenue,British
Stokesay,Drive,British
Penshurst,Place,British
Crowhurst,Drive,British
Bloxhome,Drive,British
Borthwick,Drive,British
Braemar,Drive,British
Brockhampton,Drive,British
Blandford,Drive,British
Corfe,Place,British
Towner,Road,British
McNair,Road,British
St George's,Lane,British
Rivervale,Street,Generic
Rivervale,Walk,Generic
Compassvale,Drive,Generic
Rivervale,Lane,Generic
Joo Seng,Road,Chinese
Paya Lebar,Lorong,Malay
Rochdale,Road,British
Bartley,Viaduct,British
Howard,Road,British
MacTaggart,Road,British
Burn,Road,British
Pereira,Road,Other
Vernon,Park,British
MacPherson,Road,British
Kallang Bahru,,Malay
Jellicoe,Road,British
French,Road,British
Allenby,Road,British
Petain,Road,Other
Pillai,Road,Indian
Kesoma,Jalan,Malay
Ong Lye,Lorong,Chinese
How Sun,Drive,Chinese
Paya Lebar,Street,Malay
Bunga Rampai,Place,Malay
Ampat,Kampong,Malay
Mesin,Jalan,Malay
Aljunied,Link,Other
Hougang,,Chinese
Muhibbah,Jalan,Malay
Mulia,Jalan,Malay
Gembira,Jalan,Malay
Kemajuan,Jalan,Malay
Setia,Jalan,Malay
Hiboran,Jalan,Malay
Mesra,Jalan,Malay
Ubi,Link,Malay
Ubi,Crescent,Malay
Ubi,View,Malay
Punggol,Bridge,Malay
Kian Teck,Drive,Chinese
Jurong Port,Road,Malay
Tampines,Grande,Malay
Ama Keng,Road,Chinese
Tampines,Concourse,Malay
Soon Wing,Road,Chinese
Tannery,Lane,Generic
Pipit,Road,Malay
Circuit,Road,Generic
Sallim,Road,Other
Tan Sim Boh,Road,Chinese
Goldhill,Avenue,British
Goldhill,Rise,British
Goldhill,Drive,British
Goldhill,View,British
Chancery,Hill Walk,Generic
Barker,Road,British
Asimont,Lane,British
Matlock,Rise,British
Robin,Road,Chinese
Goldhill,Place,British
Gilstead,Road,British
Pasiran,Jalan,Malay
Buckley,Road,British
Gentle,Drive,British
Bukit Tunggal,Road,Malay
Chancery,Hill Road,Generic
Padang Chancery,,Malay
Dyson,Road,British
Bo Seng,Avenue,Chinese
Merlimau,Jalan,Malay
Evelyn,Road,British
Chiltern,Drive,British
Muswell,Hill,British
Wolskel,Road,British
Cotswold,Close,British
Lynwood,Grove,British
Clifton,Vale,British
Sundrige,Park Road,British
Girang,Jalan,Malay
Sukachita,Jalan,Malay
Riang,Jalan,Malay
Selangat,Lorong,Malay
Lateh,Jalan,Malay
Sommerville,Walk,British
Biawak,Lorong,Malay
Merryn,Avenue,British
Daisy,Avenue,Generic
Daisy,Road,Generic
Tyersall,Road,British
Tyersall,Avenue,British
Gallop,Road,Generic
Cluny,Park Road,British
Kembang Melati,Jalan,Malay
Keppel,Road,British
Balmoral,Crescent,British
Balmoral,Park,British
Robin,Close,Chinese
Teow Hock,Avenue,Chinese
Stevens,Drive,British
Ewe Boon,Road,Chinese
Keng Chin,Road,Chinese
Dalvey,Road,British
Dalvey,Estate,British
Margoliouth,Road,British
White House,Park,Generic
Lady,Hill Road,British
Nassim,Road,Other
Tudor,Close,British
Unggas,Jalan,Malay
Tempua,Jalan,Malay
Compassvale,Link,Generic
Toa Payoh,Jalan,Chinese
Kim Keat,Link,Chinese
Kim Keat,Avenue,Chinese
Chermat,Jalan,Malay
Lew Lian,Lorong,Chinese
Kheam Hock,Road,Chinese
Trevose,Crescent,British
Berrima,Road,Other
Dalkeith,Road,British
Camden,Park,British
Chee Hoon,Avenue,Chinese
Dunearn,Close,British
Ross,Avenue,British
University,Road,Generic
University,Walk,Generic
Bahasa,Jalan,Malay
Asuhan,Jalan,Malay
Sejarah,Jalan,Malay
Limu,Jalan,Malay
Seni,Jalan,Malay
Leyden,Hill,British
Linden,Drive,Generic
Naga Sari,Jalan,Malay
Chai Chee,Street,Chinese
Pine,Walk,Generic
Oriole,Crescent,Generic
Ash,Grove,Generic
Vanda,Road,Generic
Vanda,Crescent,Generic
Vanda,Drive,Generic
Cassia,Drive,Generic
Sunset,AVe,Generic
Greenwood,Avenue,Generic
Greenpark,Avenue,Generic
Hillcrest,Road,Generic
Watten,Rise,British
Greenmead,Avenue,Generic
Watten,Drive,British
Watten,Close,British
Shelford,Road,British
Watten,Heights,British
Watten,View,British
Park,Vale,Generic
Arcadia,Road,Other
Greendale,Avenue,Generic
Adam,Park,British
Chempaka Kuning,Jalan,Malay
Hindhede,Drive,Other
Tai Hwan,Drive,Chinese
Tai Hwan,Grove,Chinese
Li Hwan,View,Chinese
Tai Hwan,Close,Chinese
Pacheli,Jalan,Malay
Li Hwan,Place,Chinese
Li Hwan,Drive,Chinese
Tai Hwan,Avenue,Chinese
Tai Hwan,Terrace,Chinese
Cardiff,Grove,British
Tai Hwan,Heights,Chinese
Tai Hwan,Lane,Chinese
Li Hwan,Terrace,Chinese
Tai Hwan,Crescent,Chinese
Li Hwan,Close,Chinese
Changi,Crescent,Malay
Changi,Rise,Malay
Pasir Ris,Close,Malay
Pasir Ris,Street,Malay
Elias,Road,Other
Elias,Terrace,Other
Warna,Taman,Malay
Merah Saga,Jalan,Malay
Holland,Hill,British
Commonwealth,Lane,British
Sussex,Lane,British
Countryside,Place,Generic
Holland,Rise,British
Tan Boon Chong,Avenue,Chinese
Jelita,Jalan,Malay
Tenang,Jalan,Malay
Istimewa,Jalan,Malay
Peirce,Road,British
Ridout,Road,British
Peel,Road,British
Rochalie,Drive,British
Swettenham,Road,British
Ah Hood,Road,Chinese
Kensington,Park Road,British
Merah,Bukit,Malay
Payah,Lorong,Malay
Zubir Said,Drive,Malay
Oldham,Lane,British
Penang,Lane,Malay
Buyong,Road,Malay
Countryside,Link,Generic
Da Silva,Lane,Other
Parry,Terrace,British
Parry,View,British
Sandilands,Road,British
Punggol,Place,Malay
Buangkok,Crescent,Malay
Mount Sinai,Road,Other
Ghim Moh,Road,Chinese
MacKenzie,Road,British
Coleman,Bridge,British
Eu Tong Sen,Street,Chinese
Mugliston,Walk,British
Lentor,Drive,British
Lentor,Green,British
Lentor,Grove,British
Lentor,Road,British
Lentor,Walk,British
Fudu,Park,Chinese
Fudu,Walk,Chinese
Lentor,Terrace,British
Countryside,Grove,Generic
Countryside,Road,Generic
Countryside,View,Generic
Lentor,Way,British
Lentor,Place,British
Lentor,Lane,British
Lentor,Grove Crescent,British
Lentor,Street,British
Sunrise,Way,Generic
Sunrise,Avenue,Generic
Kechubong,Jalan,Malay
Sunrise,Drive,Generic
Sunrise,Close,Generic
Sunrise,Terrace,Generic
Sunrise,Place,Generic
Cactus,Road,Generic
Cactus,Crescent,Generic
Begonia,Drive,Generic
Begonia,Crescent,Generic
Begonia,Terrace,Generic
Begonia,Walk,Generic
Saraca,View,Generic
Saraca,Walk,Generic
Saraca,Drive,Generic
Saraca,Place,Generic
Kasai,Road,Malay
Selaseh,Jalan,Malay
Resak,Jalan,Malay
Jarak,Jalan,Malay
Kelulut,Hill,Malay
Sindor,Jalan,Malay
Seletar Hills,Drive,Malay
Ketumbit,Jalan,Malay
Antoi,Jalan,Malay
Gerald,Drive,British
Gerald,Crescent,British
Eaton,Walk,British
Gerald,Park,British
Mugliston,Park,British
Hythe,Road,British
Worthing,Road,British
Court,Road,Generic
Lichfield,Road,British
Walmer,Drive,British
Alnwick,Road,British
Raglan,Grove,British
Chuan,View,Chinese
Conway,Grove,British
Chuan,Drive,Chinese
Chiselhurst,Grove,British
Coniston,Grove,British
Colchester,Grove,British
Grace,Park,British
Summer,Place,Generic
Terrace,,Generic
Chuan,Garden,Chinese
Tai Yuan,Heights,Chinese
Chuan,Link,Chinese
Chuan,Place,Chinese
Serangoon,Drive,Malay
Joon Hiang,Road,Chinese
Lim Tua Tow,Road,Chinese
Crichton,Close,British
Nira,Jalan,Malay
Cooling,Close,Generic
Purvis,Street,British
Ang Mo Kio,,Chinese
Mayflower,Avenue,British
Mayflower,Road,British
Berwick,Drive,British
Joan,Road,British
Seletar,Close,Malay
Harvey,Close,British
Tanah Merah,Coast Road,Malay
Tanah Merah Ferry,Road,Malay
Changi,Coast Walk,Malay
Sime,Road,British
Artillery,Avenue,Generic
Siloso,Road,Malay
Oxley,Rise,British
Harvey,Avenue,British
Sea Breeze,Road,Generic
Sea Breeze,Avenue,Generic
Guan Soon,Avenue,Chinese
Sea Breeze,Walk,Generic
Harvey,Crescent,British
Tram Safari,Route,Generic
Banda,Street,Indian
Jelutong,Bridge,Malay
Prince of Wales,Road,British
Lutheran,Road,Other
Walshe,Road,British
Angin Laut,Jalan,Malay
Kaki Bukit,Crescent,Malay
Kent,Ridge Road,British
Toa Payoh,Rise,Chinese
Pemimpin,Drive,Malay
Seletar Aerospace,View,Malay
Pandan,Valley,Malay
Moonbeam,Walk,Generic
Mount Sinai,Avenue,Other
Mount Sinai,View,Other
Mount Sinai,Rise,Other
Foo Kim Lin,Road,Chinese
Rimau,Jalan,Malay
Teo Kim Eng,Road,Chinese
Punai,Jalan,Malay
Emerald,Hill Road,Generic
Hullet,Road,British
Saunders,Road,British
Emerald,Link,Generic
Nutmeg,Road,Generic
Mount Elizabeth,,British
Mount Elizabeth,Link,British
Winstedt,Road,British
Koek,Road,Chinese
Kramat,Road,Malay
Fernhill,Close,British
Marina,Boulevard,Generic
Irrawaddy,Road,Other
Cairnhill,Rise,British
Draycott,Park,British
Goodwood,Hill,British
Clemenceau,Av.,Other
Eber,Road,Other
Cuscaden,Walk,British
Mariam,Way,Malay
Flora,Road,British
Flora,Drive,British
Mariam,Walk,Malay
Sinaran,Drive,Malay
Mistri,Road,Other
Tras,Link,Malay
Asas,Jalan,Malay
Uji,Jalan,Malay
Tumpu,Jalan,Malay
Siap,Jalan,Malay
Tekad,Jalan,Malay
Keris,Jalan,Malay
Keris,Drive,Malay
Azam,Jalan,Malay
Hillview,Way,Generic
Intan,Jalan,Malay
Kemunchup,Lorong,Malay
Vigilante,Drive,Generic
Science,Park Drive,Generic
Stockport,Road,British
Chai Chee,Drive,Chinese
Rifle Range,Road,Generic
Ean Kiam,Place,Chinese
Marshall,Road,British
Boscombe,Road,British
Dunman,Lane,British
Morse,Road,British
Market,Road,Generic
Havelock,Square,British
Pasir Ris,Coast Ind Park,Malay
Pasir Ris,Farmway,Malay
West,Coast Way,Generic
Bird,Park Drive,British
Leonie,Hill,British
River,Valley Grove,Generic
Leonie,Hill Rd,British
Tengah,Avenue,Malay
Laba,Road,Malay
Sesuai,Lorong,Malay
Peng Kang,Avenue,Chinese
Brani,Avenue,Malay
Bencoolen,Link,Malay
Kramat,Lane,Malay
Owen,Road,British
Dorset,Road,British
Hertford,Road,British
Carlisle,Road,British
Truro,Road,British
Norfolk,Road,British
Cambridge,Road,British
Mar Thoma,Road,Other
Mount Sophia,,British
Bahagia,Jalan,Malay
Kinta,Road,Malay
Roberts,Lane,British
Birch,Road,British
Klang,Road,Malay
Belilios,Road,Other
Chander,Road,Indian
Race Course,Lane,Generic
Hampshire,Road,British
Northumberland,Road,British
Kerbau,Road,Malay
Clive,Road,British
Farrer Park Station,Road,British
Verdun,Road,Other
Kampong Kapor,Road,Malay
Maude,Road,British
Niven,Road,British
Springwood,Height,British
Hume,Heights,British
Stadium,Walk,Generic
Second,Street,Generic
Carmen,Terrace,Other
Stadium,Crescent,Generic
Dua,Jalan,Malay
Frankel,Place,Other
Bowmont,Gardens,British
Third,Street,Generic
Fourth,Street,Generic
First,Street,Generic
Elite,Park Avenue,Generic
Siglap,Close,Malay
Elite,Terrace,Generic
Adis,Road,Other
Prinsep,Link,British
Manila,Street,Other
Cheng Yan,Place,Chinese
Pepys,Road,British
Cornwall,Road,British
Royal,Road,Generic
Alexandra,Terrace,British
Hyderabad,Road,Indian
Lock,Road,Other
Preston,Road,British
Pender,Road,British
Marang,Road,Generic
Telok Blangah,Way,Malay
Telok Blangah,Rise,Malay
Telok Blangah,Crescent,Malay
Bristol,Road,British
Seah Im,Road,Chinese
Keppel,Hill,British
Telok Blangah,Drive,Malay
Bukit Purmei,Avenue,Malay
Pebble,Lane,Generic
Rose,Lane,Generic
Ipoh,Lane,Malay
Lim Ah Woo,Road,Chinese
Green,Lane,British
Butterworth,Lane,British
Rutland,Road,British
Baboo,Lane,Malay
Tekka,Lane,Chinese
Lembu,Road,Malay
Cluny,Hill,British
Cluny,Park,British
Kee Seng,Street,Chinese
Palawan,Beach Walk,Malay
Imbiah,Hill Road,Malay
Imbiah,Walk,Malay
Harbourfront,Place,Generic
Maritime,Square,Generic
Short,Street,Generic
McNally,Street,British
Carver,Road,British
Nelson,Road,British
Canberra,Link,Other
Sembawang,Alley,Malay
Admiralty,Drive,British
Harom Setangkai,Jalan,Malay
Sankam,Jalan,Malay
Kerayong,Jalan,Malay
Machang,Jalan,Malay
Basong,Jalan,Malay
Kandis,Jalan,Malay
Janggus,Jalan,Malay
Gapis,Jalan,Malay
Gelam,Jalan,Malay
Andrew,Avenue,British
Mempurong,Jalan,Malay
Wellington,Circle,British
Wishart,Road,British
Montreal,Drive,Other
Selimang,Jalan,Malay
Inggu,Jalan,Malay
Woollerton,Drive,British
Woollerton,Park,British
Laurelwood,Avenue,Generic
Lantana,Avenue,Malay
Farrer,Park Road,British
Puaka,Bridge,Malay
Jervois,Road,British
Nathan,Road,Other
Chatsworth,Road,British
Bishopsgate,,Generic
Stadium,Way,Generic
Clive,Street,British
Tanjong Rhu,Bridge,Malay
Benaan Kapal,Jalan,Malay
Mount Faber,Loop,British
Nanyang,Valley,Chinese
Victoria,Park Road,British
Kingsmead,Road,British
Wat Siam,Jalan,Other
Sam Heng,Jalan,Chinese
Canterbury,Road,British
Berkshire,Road,British
Caseen,Street,British
Nanson,Road,British
Rodyk,Street,British
Jiak Kim,Street,Chinese
Kim Yam,Road,Chinese
Tong Watt,Road,Chinese
Tank,Road,Generic
Science,Park Road,Generic
Zehnder,Road,Other
Durain,Jalan,Malay
Enduf Senin,Jalan,Generic
Batu Ubin,Jalan,Malay
Ubin,Jalan,Malay
Noordin,Jalan,Malay
Chwee Chian,Road,Chinese
Lada Puteh,Jalan,Malay
Bukit Merah,View,Malay
West,Coast Park,Generic
West,Coast Grove,Generic
Malcolm,Road,British
Mount Rosie,Road,British
Dickson,Road,British
Kayu Manis,Jalan,Malay
Kolam Ayer,Jalan,Malay
Taman,Jalan,Malay
Pandan,Road,Malay
Pandan,Avenue,Malay
Penjuru,Lane,Malay
Tanjong Penjuru,Crescent,Malay
West,Coast Place,Generic
West,Coast Terrace,Generic
West,Coast Avenue,Generic
Tuas View Circuit,,Malay
Pandan,Crescent,Malay
Papan,Jalan,Malay
Terusan,Jalan,Malay
Pesawat,Jalan,Malay
Tepong,Jalan,Malay
Fishery Port,Road,Generic
Besut,Jalan,Malay
Seraya,Avenue,Malay
Ayer Merbau,Road,Malay
Tuas Basin,Link,Malay
Tuas,View Crescent,Malay
Sakra,Road,Malay
Holt,Road,British
Jambu Ayer,Jalan,Malay
Swiss Club,Road,Other
Swiss Club,Avenue,Other
Swiss Club,Lane,Other
Ming Teck,Park,Chinese
Holland,Plain,British
Gymkhana,Avenue,British
Changi,Village Road,Malay
Simei,Avenue,British
Simei,Road,British
Stadium,Boulevard,Generic
Bendemeer,Road,Other
Redhill,Close,British
Kembangan,Taman,Malay
Bahru,Lengkok,Malay
Tiong,Jalan,Chinese
Sarina,Lorong,Malay
Kampong Java,Road,Malay
Gateway,Link,Generic
Commonwealth,Drive,British
Butik Merah,,Malay
Connaught,Drive,British
Irwell,Bank Road,British
Eng Kong,Place,Chinese
Eng Kong,Garden,Chinese
Cheng Soon,Crescent,Chinese
Kismis,Green,Other
Cheng Soon,Garden,Chinese
Kismis,Lorong,Other
Eng Kong,Road,Chinese
Eng Kong,Crescent,Chinese
Greenridge,Crescent,Generic
Kismis,Place,Other
King's,Close,British
King's,Walk,British
King's,Drive,British
Kew,Lane,British
Kent,Road,British
Toh Tuck,Terrace,Chinese
Toh Tuck,Rise,Chinese
Yuan Ching,Road,Chinese
Strathmore,Road,British
Gombak,Drive,Malay
Hobart,Road,British
Eastwood,Drive,British
Mount Sinai,Lane,Other
Ria,Jalan,Malay
Sunset,Drive,Generic
Kismis,Avenue,Other
Kismis,Road,Other
Sommerville,Road,British
Greenleaf,Rise,Generic
Greenleaf,Place,Generic
Greenleaf,View,Generic
Lasia,Avenue,Malay
Bin Tong,Park,Chinese
Kovan,Road,Other
Hillcrest,Crescent,Generic
Vanda,Avenue,Generic
Adat,Jalan,Malay
Harlyn,Road,British
Dunsfold,Drive,British
Melrose,Drive,British
MacKerrow,Road,British
Carisbrooke,Grove,British
Chuan,Walk,Chinese
Conway,Circle,British
Lange,Road,Other
Lentor,Loop,British
Lentor,Vale,British
Phoenix,Avenue,Generic
Kasau,Jalan,Malay
Springside,Walk,Generic
Springside,Link,Generic
Attap,Valley Road,Malay
North,Coast Crescent,Generic
Senoko,Drive,Malay
Senoko,Road,Malay
Senoko,Avenue,Malay
Senoko,Way,Malay
Wellington,Road,British
Jamaica,Road,Other
Fiji,Road,Other
Falkland,Road,British
Tasmania,Road,British
Office,Road,Generic
Woodleigh,Park,British
Youngberg,Terrace,British
Woodleigh,Close,British
Kim Tian,Road,Chinese
Heng Mui Keng,Terrace,Chinese
Membina,Jalan,Malay
Loyang,Rise,Malay
Burghley,Drive,British
Mutiara,Jalan,Malay
Shanghai,Road,Chinese
Tawas,Lorong,Malay
Aviation,Park Road,Generic
Chuan,Close,Chinese
Chuan,Lane,Chinese
Melayu,Lorong,Malay
Port,Road,Generic
Marican,Lorong,Malay
Labrador Villa,Road,British
Cove,Drive,Generic
Pearl,Island,British
Sandy,Island,Generic
Ocean,Drive Circus,Generic
Ocean,Way,Generic
Woodgrove,Walk,Generic
Beechwood,Grove,British
Oakwood,Grove,British
Woodgrove,View,Generic
Marsiling,Rise,Chinese
Peradun,Jalan,Malay
Robin,Walk,Chinese
Namly,Crescent,Indian
St Thomas,Walk,British
Keppel Bay,Drive,British
Fusionopolis,Way,Generic
Exchange,Green,Generic
one-north Gateway,,Generic
One-North,Crescent,Generic
Biopolis,Drive,Generic
Buona,Vista Drive,Other
Biopolis,Way,Generic
Biopolis,Road,Generic
Biomedical,Grove,Generic
Siok Wan,Close,Chinese
Chwee Chian,View,Chinese
Kilang Barat,Jalan,Malay
Kilang,Jalan,Malay
Kilang Timor,Jalan,Malay
Namly,Avenue,Indian
Fourth,Avenue,Generic
Second,Avenue,Generic
Ishak,Jalan,Malay
Namly,Place,Indian
Namly,Garden,Indian
Namly,Drive,Indian
Namly,Grove,Indian
Turf Club,Road,Generic
Marzuki,Lorong,Malay
Tekong,Highway,Malay
Vanda,Link,Generic
Fifth,Avenue,Generic
Eunos,Crescent,Malay
Hemmant,Road,British
Wimborne,Road,British
Cranborne,Road,British
Salleh,Jalan,Malay
Yasin,Jalan,Malay
Kechot,Jalan,Malay
Rahmat,Jalan,Malay
Ismail,Jalan,Malay
Hussein,Jalan,Malay
Melayu,Jalan,Malay
Westwood,Drive,British
Westwood,Walk,British
Westwood,Crescent,British
Westwood,Road,British
Westwood,Avenue,British
Westwood,Terrace,British
Beach,View,Generic
Punggol,Walk,Malay
Sumang,Link,Malay
Limau,Terrace,Malay
Woodlands,Lane,Generic
Yunnan,Drive,Chinese
Yunnan,Crescent,Chinese
Yunnan,Road,Chinese
Tanglin Halt,Road,Chinese
Tanglin Halt,Close,Chinese
West,Coast Lane,Generic
Limau,Rise,Malay
Danau,Lorong,Malay
Yung Sheng,Road,Chinese
Yung An,Road,Chinese
Tuas,View Walk,Malay
Lam Sam,Jalan,Chinese
Kian Teck,Avenue,Chinese
Limau,Walk,Malay
Bilal,Jalan,Malay
Bilal,Lane,Malay
Bedok,Garden,Malay
Kathi,Jalan,Malay
Minaret,Walk,Generic
Limau,Grove,Malay
Bedok,Taman,Malay
Bedok,Place,Malay
Bedok Ria,Crescent,Malay
Bedok Ria,Drive,Malay
Bedok Ria,Place,Malay
Bedok Ria,Terrace,Malay
Bedok Ria,Walk,Malay
Langgar Bedok,Jalan,Malay
Bedok,Close,Malay
Bedok,Rise,Malay
Limau Kasturi,Jalan,Malay
Limau Nipis,Jalan,Malay
Bedok,Terrace,Malay
Ang Mo Kio Electronics,Park Road,Chinese
Eastwood,Place,British
Redhill,Road,British
Bedok,Walk,Malay
Bedok,Lane,Malay
Pari Dedap,Walk,Malay
Peakville,Grove,British
Pari Kikis,Jalan,Malay
Peakville,Terrace,British
Pari Unak,Jalan,Malay
Chang Charn,Road,Chinese
Hu Ching,Road,Chinese
Clover,Avenue,Generic
Binchang,Rise,Malay
Woodland,View,Generic
Clover,Cres,Generic
Clover,Way,Generic
Clover,Close,Generic
Binchang,Walk,Malay
Pemimpin,Jalan,Malay
Pemimpin,Place,Malay
Binchang,Jalan,Malay
Pemimpin,Terrace,Malay
Changi Business,Park,Malay
Changi Business,Park Cresent,Malay
Anthony,Road,British
Peck Hay,Road,Chinese
Yunnan,Walk,Chinese
Pioneer,Circus,British
Soon Lee,Drive,Chinese
Sunview,Way,Generic
Carnation,Drive,Generic
Anak Patong,Jalan,Malay
Teban,Gardens Crescent,Malay
Bedok,Interchange,Malay
Bedok,,Malay
Capricorn,Drive,Generic
Jitong,Jalan,Malay
Marina Coastal,Expressway,Generic
Soo Chow,Garden Road,Chinese
Toronto,Road,Other
Marigold,Drive,Generic
Straits,View,Generic
Island Club,Road,Generic
Windsor,Park Road,British
Orchid,Drive,Generic
Gardenia,Road,Generic
Jupiter,Road,Generic
Jasmine,Road,Generic
Venus,Rd,Other
Bright,Hill Drive,Generic
Gladiola,Drive,Generic
Daffodil,Drive,Generic
Ontario,Avenue,Other
Thomson,Ridge,British
Soo Chow,Drive,Chinese
Lembah Thomson,Jalan,British
Soo Chow,Way,Chinese
Soo Chow,View,Chinese
Libra,Drive,Generic
Soo Chow,Rise,Chinese
Mega,Lorong,Malay
Soo Chow,Walk,Chinese
Angklong,Jalan,Malay
Angklong,Lane,Malay
Sin Ming,Walk,Chinese
Seruling,Jalan,Malay
Gendang,Jalan,Malay
Island,Gardens Walk,Generic
Rebana,Jalan,Malay
Hindhede,Walk,Other
Tuas Bay,Link,Malay
Tuas,View Avenue,Malay
Tuas,Loop,Malay
Tuas Basin,Close,Malay
Shipyard,Crescent,Generic
Jurong Pier,Way,Malay
Bukit,Drive,Malay
Rochester,Drive,British
Vista Exchange,Green,Generic
Cosford,Road,British
Kent,Ridge Drive,British
